""
sanzhar "2025-11-18 19:49:43" True "2.83 MBps" "2.58 MBps" 7.82
sanz "2025-11-18 19:50:23" True "2.59 MBps" "1.63 MBps" 5.164
alina "2025-11-18 19:55:21" True "2.83 MBps" "2.13 MBps" 4.554
